KATEGORI BAWAH 446,Tahun Permohonan,NOPAC,NAMA SYARIKAT / PENYEDIA,ALAMAT,ADD1,ADD2,ADD3,DAERAH,KAPASITI,SEKTOR,X,Y
MAJIKAN,2022,PAC/10401/2022/56809,AKIFF RESOURCES,"NO 17 JALAN TP 15,, TAMAN TERENDAK PERMAI, 76300 SUNGAI UDANG, MELAKA","NO 17 JALAN TP 15,",TAMAN TERENDAK PERMAI,"76300 SUNGAI UDANG, MELAKA",ALOR GAJAH,6,F - Pembinaan,2.282266557,102.1298945
MAJIKAN,2022,PAC/10401/2022/70635,CIK NAH CAFE,"NO 41 JALAN TU 17, TAMAN TASIK UTAMA, HANG TUAH JAYA",NO 41 JALAN TU 17,TAMAN TASIK UTAMA,HANG TUAH JAYA,MELAKA TENGAH,9,I - Penginapan dan aktiviti perkhidmatan makanan dan minuman,2.282274522,102.2809474
MAJIKAN,2024,PAC/10401/2024/92210,BUKIT RAMBAI FAMILY STORE SDN BHD,"13, JLN ZUHAL 2, TAMAN TANJONG MINYAK PERDANA","13, JLN ZUHAL 2",TAMAN TANJONG MINYAK PERDANA,,MELAKA TENGAH,8,"G - Perdagangan borong dan runcit, pembaikan kenderaan bermotor dan motosikal",2.282297249,102.1870925
PENYEDIA PENGINAPAN BERPUSAT,2021,PAC/10401/2021/37453,MITRA UNIQUE SDN BHD,"NO.23, JALAN ZUHAL 4, TAMAN TANJUNG MINYAK PERDANA.","NO.23, JALAN ZUHAL 4, TAMAN TANJUNG MINYAK PERDANA.",,,MELAKA TENGAH,11,S - Aktiviti perkhidmatan lain,2.282457579,102.1889259
MAJIKAN,2024,PAC/10401/2024/89952,SUMIMETAL INDUSTRIES (MALAYSIA) SDN BHD,"NO,30,JALAN ZUHAL 1,, TAMAN TANJUNG MINYAK PERDANA,","NO,30,JALAN ZUHAL 1,","TAMAN TANJUNG MINYAK PERDANA,",,MELAKA TENGAH,11,C - Pembuatan,2.282960263,102.1872856
PENYEDIA PENGINAPAN BERPUSAT,2021,PAC/10401/2021/40575,MITRA UNIQUE SDN BHD,"NO. 5, JALAN MARIKH 7, TAMAN TANJUNG MINYAK PERDANA.","NO. 5, JALAN MARIKH 7, TAMAN TANJUNG MINYAK PERDANA.",,,MELAKA TENGAH,12,S - Aktiviti perkhidmatan lain,2.283366645,102.1856895
PENYEDIA PENGINAPAN BERPUSAT,2021,PAC/10401/2021/40594,MITRA UNIQUE SDN BHD,"NO. 15, JALAN MARIKH 8, TAMAN TANJUNG MINYAK PERDANA.","NO. 15, JALAN MARIKH 8, TAMAN TANJUNG MINYAK PERDANA.",,,MELAKA TENGAH,12,S - Aktiviti perkhidmatan lain,2.2833752,102.1864721
MAJIKAN,2024,PAC/10401/2024/94999,TECK LEONG COFFEE & TEA MERCHANT (M) SDN BHD,"NO 5, JALAN MARIKH 7, TAMAN TANJUNG MINYAK PERDANA",NO 5,JALAN MARIKH 7,TAMAN TANJUNG MINYAK PERDANA,MELAKA TENGAH,12,C - Pembuatan,2.283389857,102.1856442
PENYEDIA PENGINAPAN BERPUSAT,2024,PAC/10401/2024/92913,MLCL CONSTRUCTION SDN BHD,"NO 8, JALAN PE 32, TAMAN PAYA EMAS",NO 8,JALAN PE 32,TAMAN PAYA EMAS,MELAKA TENGAH,12,F - Pembinaan,2.283411841,102.212199
PENYEDIA PENGINAPAN BERPUSAT,2021,PAC/10401/2021/40582,MITRA UNIQUE SDN BHD,"NO. 22, JALAN MARIKH 8, TAMAN TANJUNG MINYAK PERDANA.","NO. 22, JALAN MARIKH 8, TAMAN TANJUNG MINYAK PERDANA.",,,MELAKA TENGAH,12,S - Aktiviti perkhidmatan lain,2.283461303,102.1868677
